X,Y,Z,dip,azimuth,formation,polarity
583654.2990145208,5260277.793550027,1287.0431,53,161,formation01,1
583047.0701111383,5260300.023597208,1342.2981,43,145,formation02,1
583046.1942050086,5260361.765304179,1350.264,55,154,formation03,1
582960.7502879284,5260484.060888246,1374.3881,48,329,formation04,1
582837.1609996884,5260545.669801391,1385.5791,33,323,formation05,1
582349.6382901687,5260784.199371459,1517.8921,30,151,formation06,1
582307.7948150298,5260783.610801155,1515.967,63,150,formation07,1
581932.4961324601,5260685.714421922,1570.5371,53,159,formation08,1
582018.3479582365,5260532.534315844,1585.5631,54,166,formation09,1
581916.7576960572,5260314.974418579,1568.2861,54,332,formation10,1
581795.5289908533,5260004.512600853,1589.3391,47,338,formation11,1
582610.2862113996,5260108.583658119,1463.978,65,157,formation12,1
583069.3081452602,5260207.709034825,1397.7771,40,140,formation13,1
